Chemical Name	CAS #	Formula	Synonyms	Get Report
P-PHENYLENEDIAMINE	106-50-3	C6H8N2	"4-Aminoaniline; 1,4-Benzenediamine; p-Diaminobenzene; 1,4-Diaminobenzene; 1,4-Phenylene diamine"	Get Report 
BENZOQUINONE	106-51-4	C6H4O2	"1,4-Benzoquinone; p-Benzoquinone; 1,4-Cyclohexadiene dioxide; p-Quinone"	Get Report 
VINYL CYCLOHEXENE DIOXIDE	106-87-6	C8H12O2	"1-Epoxyethyl-3,4-epoxy-cyclohexane; 4-Vinylcyclohexene diepoxide; 4-Vinyl-1-cyclohexene dioxide"	Get Report 
"1-CHLORO-2,3-EPOXYPROPANE"	106-89-8	C3H5ClO	2-Chloropropylene oxide; beta-Chloropropylene oxide; Epichlorohydrin	Get Report 
ALLYL GLYCIDYL ETHER	106-92-3	C6H10O2	"AGE; 1-Allyloxy-2,3-epoxypropane; Glycidyl allyl ether; [(2-Propenyloxy)methyl] oxirane"	Get Report 
ETHYLENE DIBROMIDE	106-93-4	C2H4Br2	"1,2-Dibromoethane; Ethylene bromide; Glycol dibromide"	Get Report 
BUTANE	106-97-8	C4H10	normal-Butane; Butyl hydride; Diethyl; Methylethylmethane	Get Report 
"1,3 BUTADIENE"	106-99-0	C4H6	"Biethylene; Bivinyl, Butadiene; Divinyl, Erythrene; Vinylethylene"	Get Report 
ACROLEIN	107-02-8	C3H4O	"Acraldehyde; Acrolein, inhibited; Acrylaldehyde,;Acrylic aldehyde; Allyl aldehyde; Propenal; 2-Propenal"	Get Report 
N-PROPYLMERCAPTAN	107-03-9	C3H8S	3-Mercaptopropane; Propane-1-thiol; Propyl mercaptan; n-Propyl mercaptan	Get Report 
ALLYL CHLORIDE	107-05-1	C3H5Cl	3-Chloropropene; 1-Chloro-2-propene; 3-Chloropropylene	Get Report 
ETHYLENE DICHLORIDE	107-06-2	C2H4Cl2	"1,2-Dichloroethane; Ethylene chloride; Glycol dichloride"	Get Report 
ETHYLENE CHLOROHYDRIN	107-07-3	C2H5ClO	2-Chloroethanol; 2-Chloroethyl alcohol; Ethylene chlorhydrin	Get Report 
PROPIONITRILE	107-12-0	C3H5N	Cyanoethane; Ethyl cyanide; Propanenitrile; Propionic nitrile; Propiononitrile	Get Report 
